entity_name|licensee_type_cd|license_number|status|BLANK|city|zip|county|entity_name|licensee_type_cd|license_number|status|expiration_date|first_issue_date|city|state|zip|county|Action
EXPERT COMPUTER REPAIR|E|80756|CANCELLED||OAKLAND|94611|ALAMEDA|EXPERT COMPUTER REPAIR|ELECTRONIC REPAIR|80756|CANCELLED Definition|January   31, 2006|January   13, 2004|OAKLAND|CA|94611|ALAMEDA|No
EYE PERFECT HOME SYSTEMS|E|81043|CANCELLED||HAYWARD|94542|ALAMEDA|EYE PERFECT HOME SYSTEMS|ELECTRONIC REPAIR|81043|CANCELLED Definition|May       31, 2010|May       04, 2004|HAYWARD|CA|94542|ALAMEDA|No
EZ AIR CONTROL|A|44289|CANCELLED||UNION CITY|94587|ALAMEDA|EZ AIR CONTROL|MAJOR APPLIANCE REPAIR|44289|CANCELLED Definition|October   31, 2005|October   14, 2004|UNION CITY|CA|94587|ALAMEDA|No
FADDAS SERVICE CO|E|21067|CANCELLED||SAN LEANDRO|94578|ALAMEDA|FADDAS SERVICE CO|ELECTRONIC REPAIR|21067|CANCELLED Definition|April     30, 1999|June      29, 1981|SAN LEANDRO|CA|94578|ALAMEDA|No
FAMSA INC|C|61818|CANCELLED||OAKLAND|946014621|ALAMEDA|FAMSA INC|COMBINATION-ELECTRIC AND APPLIANCE REPAIR|61818|CANCELLED Definition|July      31, 2012|July      10, 2008|OAKLAND|CA|94601-4621|ALAMEDA|No
FAST TEKS ON SITE COMPUTER & REPAIR SERVICE|E|84667|CANCELLED||FREMONT|94555|ALAMEDA|FAST TEKS ON SITE COMPUTER & REPAIR SERVICE|ELECTRONIC REPAIR|84667|CANCELLED Definition|September 30, 2011|September 19, 2008|FREMONT|CA|94555|ALAMEDA|No
FAST TEKS ON SITE COMPUTER SERVICES|E|83445|CANCELLED||DUBLIN|94568|ALAMEDA|FAST TEKS ON SITE COMPUTER SERVICES|ELECTRONIC REPAIR|83445|CANCELLED Definition|May       31, 2009|May       30, 2007|PMB 450|DUBLIN|CA|94568|ALAMEDA|No
FAST-TEK ON-SITE COMPUTER SERVICES|E|86215|CANCELLED||LIVERMORE|94550|ALAMEDA|FAST-TEK ON-SITE COMPUTER SERVICES|ELECTRONIC REPAIR|86215|CANCELLED Definition|February  29, 2012|February  16, 2010|LIVERMORE|CA|94550|ALAMEDA|No
FASTHUMA|E|89880|CLEAR||FREMONT|94539|ALAMEDA|FASTHUMA|ELECTRONIC REPAIR|89880|CLEAR Definition|November  30, 2015|November  06, 2014|FREMONT|CA|94539|ALAMEDA|No
FASTHUMA COMPUTER REPAIR|E|87427|CANCELLED||FREMONT|94539|ALAMEDA|FASTHUMA COMPUTER REPAIR|ELECTRONIC REPAIR|87427|CANCELLED Definition|October   31, 2015|October   13, 2011|FREMONT|CA|94539|ALAMEDA|No
FASTHUMA MOBILE COMPUTER REPAIR|E|86205|CANCELLED||NEWARK|94560|ALAMEDA|FASTHUMA MOBILE COMPUTER REPAIR|ELECTRONIC REPAIR|86205|CANCELLED Definition|February  28, 2011|February  03, 2010|SUITE 250-H|NEWARK|CA|94560|ALAMEDA|No
FERNANDEZ INSTALLATIONS|A|44741|CANCELLED||UNION CITY|94587|ALAMEDA|FERNANDEZ INSTALLATIONS|MAJOR APPLIANCE REPAIR|44741|CANCELLED Definition|August    31, 2007|August    21, 2006|UNION CITY|CA|94587|ALAMEDA|No
FIREDOG|E|83264|CANCELLED||HAYWARD|94544|ALAMEDA|FIREDOG|ELECTRONIC REPAIR|83264|CANCELLED Definition|March     31, 2009|March     16, 2007|HAYWARD|CA|94544|ALAMEDA|No
FIREDOG|E|83218|CANCELLED||DUBLIN|94566|ALAMEDA|FIREDOG|ELECTRONIC REPAIR|83218|CANCELLED Definition|March     31, 2009|March     15, 2007|DUBLIN|CA|94566|ALAMEDA|No
FIREDOG|E|83221|CANCELLED||EMERYVILLE|94608|ALAMEDA|FIREDOG|ELECTRONIC REPAIR|83221|CANCELLED Definition|March     31, 2009|March     15, 2007|EMERYVILLE|CA|94608|ALAMEDA|No
FIREDOG|E|83293|CANCELLED||LIVERMORE|94550|ALAMEDA|FIREDOG|ELECTRONIC REPAIR|83293|CANCELLED Definition|March     31, 2009|March     21, 2007|LIVERMORE|CA|94550|ALAMEDA|No
FIREDOG|E|83251|CANCELLED||FREMONT|94538|ALAMEDA|FIREDOG|ELECTRONIC REPAIR|83251|CANCELLED Definition|March     31, 2009|March     16, 2007|FREMONT|CA|94538|ALAMEDA|No
FIRST AID ELECTRONICS|E|71568|CANCELLED||PLEASANTON|94566|ALAMEDA|FIRST AID ELECTRONICS|ELECTRONIC REPAIR|71568|CANCELLED Definition|August    31, 1996|August    06, 1993|PLEASANTON|CA|94566|ALAMEDA|No
FIRST INTERNATIONAL COMPUTER OF AMERICA INC|E|83855|CANCELLED||FREMONT|94539|ALAMEDA|FIRST INTERNATIONAL COMPUTER OF AMERICA INC|ELECTRONIC REPAIR|83855|CANCELLED Definition|December  31, 2009|December  13, 2007|FREMONT|CA|94539|ALAMEDA|No
FIVE STAR APPLIANCE SERVICE|A|39329|CANCELLED||FREMONT|94538|ALAMEDA|FIVE STAR APPLIANCE SERVICE|MAJOR APPLIANCE REPAIR|39329|CANCELLED Definition|December  31, 2004|January   04, 1988|FREMONT|CA|94538|ALAMEDA|No
FLASH 2 UNLOCK|E|88274|CLEAR||FREMONT|94538|ALAMEDA|FLASH 2 UNLOCK|ELECTRONIC REPAIR|88274|CLEAR Definition|December  31, 2015|December  18, 2012|FREMONT|CA|94538|ALAMEDA|No
FLORES TV SERVICE|E|84753|CANCELLED||OAKLAND|94606|ALAMEDA|FLORES TV SERVICE|ELECTRONIC REPAIR|84753|CANCELLED Definition|October   31, 2009|October   24, 2008|OAKLAND|CA|94606|ALAMEDA|No
FLOYD'S APPLIANCE SERVICE|A|33419|CANCELLED||OAKLAND|94619|ALAMEDA|FLOYD'S APPLIANCE SERVICE|MAJOR APPLIANCE REPAIR|33419|CANCELLED Definition|June      30, 2001|July      29, 1974|OAKLAND|CA|94619|ALAMEDA|No
FLYNT ELECTRONICS|E|26228|CANCELLED||LIVERMORE|94550|ALAMEDA|FLYNT ELECTRONICS|ELECTRONIC REPAIR|26228|CANCELLED Definition|June      30, 1989|LIVERMORE|CA|94550|ALAMEDA|No
FOCUS APPLIANCE REPAIR|A|45486|CLEAR||SAN LEANDRO|94578|ALAMEDA|FOCUS APPLIANCE REPAIR|MAJOR APPLIANCE REPAIR|45486|CLEAR Definition|April     30, 2015|April     09, 2009|SAN LEANDRO|CA|94578|ALAMEDA|No
FONES COMPUTER SERVICE|E|84418|CANCELLED||SAN LORENZO|94580|ALAMEDA|FONES COMPUTER SERVICE|ELECTRONIC REPAIR|84418|CANCELLED Definition|July      31, 2010|July      08, 2008|SAN LORENZO|CA|94580|ALAMEDA|No
FOOTHILL APPLIANCE|A|42450|CANCELLED||OAKLAND|94601|ALAMEDA|FOOTHILL APPLIANCE|MAJOR APPLIANCE REPAIR|42450|CANCELLED Definition|November  30, 1999|November  21, 1996|OAKLAND|CA|94601|ALAMEDA|No
FOOTHILL TELEVISION|E|29395|CANCELLED||OAKLAND|94605|ALAMEDA|FOOTHILL TELEVISION|ELECTRONIC REPAIR|29395|CANCELLED Definition|June      30, 1991|March     19, 1991|OAKLAND|CA|94605|ALAMEDA|No
FOSTERS REFRIGERATION & APPLIANCE REPAIR|A|43554|CANCELLED||OAKLAND|94612|ALAMEDA|FOSTERS REFRIGERATION & APPLIANCE REPAIR|MAJOR APPLIANCE REPAIR|43554|CANCELLED Definition|July      31, 2002|July      09, 2001|OAKLAND|CA|94612|ALAMEDA|No
FOUR BROTHERS HVACS|A|44897|CANCELLED||HAYWARD|94543|ALAMEDA|FOUR BROTHERS HVACS|MAJOR APPLIANCE REPAIR|44897|CANCELLED Definition|April     30, 2012|April     17, 2007|HAYWARD|CA|94543|ALAMEDA|No
FRANDOR HOME APPLIANCE REPAIR SERVICE|A|40508|CANCELLED||BERKELEY|94707|ALAMEDA|FRANDOR HOME APPLIANCE REPAIR SERVICE|MAJOR APPLIANCE REPAIR|40508|CANCELLED Definition|November  30, 2000|November  28, 1990|BERKELEY|CA|94707|ALAMEDA|No
FRANK'S OF BERKELEY INC|E|17476|CANCELLED||BERKELEY|94703|ALAMEDA|FRANK'S OF BERKELEY INC|ELECTRONIC REPAIR|17476|CANCELLED Definition|March     31, 2013|February  24, 1976|BERKELEY|CA|94703|ALAMEDA|No
FRANKE REPAIRS|A|46956|CLEAR||HAYWARD|94541|ALAMEDA|FRANKE REPAIRS|MAJOR APPLIANCE REPAIR|46956|CLEAR Definition|February  29, 2016|February  25, 2015|HAYWARD|CA|94541|ALAMEDA|No
FREDDY'S SERVICE SPECIALISTS|A|46749|CLEAR||HAYWARD|94541|ALAMEDA|FREDDY'S SERVICE SPECIALISTS|MAJOR APPLIANCE REPAIR|46749|CLEAR Definition|June      30, 2015|June      03, 2014|HAYWARD|CA|94541|ALAMEDA|No
FREDRICK'S RADIO & TV|E|1548|CANCELLED||ALAMEDA|94501|ALAMEDA|FREDRICK'S RADIO & TV|ELECTRONIC REPAIR|1548|CANCELLED Definition|September 30, 2004|June      30, 1964|ALAMEDA|CA|94501|ALAMEDA|No
FREMONT CAR STEREO|E|25316|CANCELLED||NEWARK|94560|ALAMEDA|FREMONT CAR STEREO|ELECTRONIC REPAIR|25316|CANCELLED Definition|August    31, 1997|May       02, 1986|NEWARK|CA|94560|ALAMEDA|No
FREMONT CAR STEREO|E|27906|CANCELLED||UNION CITY|94587|ALAMEDA|FREMONT CAR STEREO|ELECTRONIC REPAIR|27906|CANCELLED Definition|June      30, 1990|April     12, 1989|UNION CITY|CA|94587|ALAMEDA|No
FREMONT PC|E|84084|CANCELLED||FREMONT|94536|ALAMEDA|FREMONT PC|ELECTRONIC REPAIR|84084|CANCELLED Definition|March     31, 2011|March     18, 2008|FREMONT|CA|94536|ALAMEDA|No
FREMONT SOUND INC|E|24071|CANCELLED||FREMONT|94538|ALAMEDA|FREMONT SOUND INC|ELECTRONIC REPAIR|24071|CANCELLED Definition|September 30, 1998|January   18, 1985|FREMONT|CA|94538|ALAMEDA|No
FREMONT SURPLUS COMPUTER|E|84816|CANCELLED||FREMONT|94538|ALAMEDA|FREMONT SURPLUS COMPUTER|ELECTRONIC REPAIR|84816|CANCELLED Definition|November  30, 2011|November  17, 2008|FREMONT|CA|94538|ALAMEDA|No
FREMONT TV AND VIDEO|E|28945|CANCELLED||FREMONT|94538|ALAMEDA|FREMONT TV AND VIDEO|ELECTRONIC REPAIR|28945|CANCELLED Definition|August    31, 1994|July      31, 1990|FREMONT|CA|94538|ALAMEDA|No
FREMONT TV AND VIDEO|E|27892|CANCELLED||FREMONT|94538|ALAMEDA|FREMONT TV AND VIDEO|ELECTRONIC REPAIR|27892|CANCELLED Definition|June      30, 1989|April     04, 1989|FREMONT|CA|94538|ALAMEDA|No
FREMONT TV AND VIDEO|E|28220|CANCELLED||FREMONT|94538|ALAMEDA|FREMONT TV AND VIDEO|ELECTRONIC REPAIR|28220|CANCELLED Definition|June      30, 1991|August    10, 1989|FREMONT|CA|94538|ALAMEDA|No
FRIEDMAN'S MICROWAVE OVEN SERVICE - HAYWARD|E|72007|CANCELLED||HAYWARD|94541|ALAMEDA|FRIEDMAN'S MICROWAVE OVEN SERVICE - HAYWARD|ELECTRONIC REPAIR|72007|CANCELLED Definition|January   31, 1999|January   24, 1994|HAYWARD|CA|94541|ALAMEDA|No
FRIEDMANS MICROWAVE OVENS|A|40796|CANCELLED||DUBLIN|94568|ALAMEDA|FRIEDMANS MICROWAVE OVENS|MAJOR APPLIANCE REPAIR|40796|CANCELLED Definition|November  30, 1994|September 12, 1991|DUBLIN|CA|94568|ALAMEDA|No
FRIEDMANS MICROWAVE OVENS|A|41794|CANCELLED||DUBLIN|945682324|ALAMEDA|FRIEDMANS MICROWAVE OVENS|MAJOR APPLIANCE REPAIR|41794|CANCELLED Definition|August    31, 1997|August    29, 1994|DUBLIN|CA|94568-2324|ALAMEDA|No
FRIEDMANS MICROWAVE OVENS - HAYWARD|A|43325|CANCELLED||HAYWARD|94541|ALAMEDA|FRIEDMANS MICROWAVE OVENS - HAYWARD|MAJOR APPLIANCE REPAIR|43325|CANCELLED Definition|June      30, 2003|June      06, 2000|HAYWARD|CA|94541|ALAMEDA|No
FRIEDMANS MICROWAVE OVENS - OAKLAND|A|42386|CANCELLED||OAKLAND|94612|ALAMEDA|FRIEDMANS MICROWAVE OVENS - OAKLAND|MAJOR APPLIANCE REPAIR|42386|CANCELLED Definition|September 30, 2006|September 10, 1996|OAKLAND|CA|94612|ALAMEDA|No
FRIENDSHIP TV & ELECTRONICS SERV|E|19897|CANCELLED||OAKLAND|94605|ALAMEDA|FRIENDSHIP TV & ELECTRONICS SERV|ELECTRONIC REPAIR|19897|CANCELLED Definition|May       31, 1997|June      14, 1979|OAKLAND|CA|94605|ALAMEDA|No
FRIGID ELECTRIC REFRIG REPAIR|A|33113|CANCELLED||OAKLAND|94608|ALAMEDA|FRIGID ELECTRIC REFRIG REPAIR|MAJOR APPLIANCE REPAIR|33113|CANCELLED Definition|June      30, 1990|OAKLAND|CA|94608|ALAMEDA|No
FRIGIDAIRE COMPANY|A|39607|CANCELLED||HAYWARD|945451155|ALAMEDA|FRIGIDAIRE COMPANY|MAJOR APPLIANCE REPAIR|39607|CANCELLED Definition|March     31, 1999|July      19, 1988|HAYWARD|CA|94545-1155|ALAMEDA|No
FRY'S ELECTRONICS, INC|E|72713|CLEAR||FREMONT|94539|ALAMEDA|FRY'S ELECTRONICS, INC|ELECTRONIC REPAIR|72713|CLEAR Definition|April     30, 2015|April     26, 1994|FREMONT|CA|94539|ALAMEDA|No
FRY'S ELECTRONICS, INC|E|72713|CLEAR||FREMONT|94539|ALAMEDA|License Type ";
    txt += "Description"+text+"|License Type ";
    txt += "Description|"+text+"|CUSTOM ACOUSTIX LLC|E|82430|CANCELLED||FREMONT|94538|ALAMEDA|D & D APPLIANCE SERVICE, INC.|A|36727|CANCELLED||ALBANY|94706|ALAMEDA|D & D COMPUTER CONSULTING|E|75083|CANCELLED||ALAMEDA|94501|ALAMEDA|D B AUDIO INC|E|73145|CANCELLED||BERKELEY|94704|ALAMEDA|D J COMPUTERS|E|88979|CLEAR||ALBANY|94706|ALAMEDA|D J TV|E|83121|CLEAR||FREMONT|94536|ALAMEDA|D J TV SERVICE|E|70961|CANCELLED||FREMONT|94536|ALAMEDA|D.J. COMPUTERS|E|77457|CANCELLED||ALBANY|94706|ALAMEDA|DADDYS COMPUTER REPAIRS|E|88161|CANCELLED||OAKLAND|94602|ALAMEDA|DALE SANFORD TV & VIDEO|E|23189|CANCELLED||BERKELEY|94702|ALAMEDA|DANS BUSINESS SERVICES|E|75114|CANCELLED||HAYWARD|94545|ALAMEDA|DAVE'S APPL AND SERVICE|A|30095|CANCELLED||HAYWARD|94541|ALAMEDA|DAVID'S APPLIANCE REPAIR|A|43413|CANCELLED||OAKLAND|94621|ALAMEDA|DAVIDSON MASTER SERVICE|A|38897|REVOKED||HAYWARD|94545|ALAMEDA|DB AUDIO INC.|E|25569|CANCELLED||BERKELEY|94704|ALAMEDA|DCNS|E|80452|CANCELLED||FREMONT|94539|ALAMEDA|DE SOUZA'S APPLIANCE REPAIR SERVICE|A|39441|CANCELLED||NEWARK|94560|ALAMEDA|DECISIONONE CORPORATION|E|76607|CANCELLED||HAYWARD|94545|ALAMEDA|DECISIONONE CORPORATION|E|77633|CANCELLED||HAYWARD|94541|ALAMEDA|DECISIONONE CORPORATION|E|77634|CANCELLED||FREMONT|94538|ALAMEDA|DEENS ELECTRONICS, INC.|E|75034|CLEAR||FREMONT|94538|ALAMEDA|DELTA ELECTRONIC|E|76579|CANCELLED||BERKELEY|94702|ALAMEDA|DEPENDABLE AVESCO TV SERVICE|E|22691|CANCELLED||FREMONT|94536|ALAMEDA|DEYS ENGINEERING|E|74954|CANCELLED||FREMONT|94539|ALAMEDA|DFI (SAN JOSE), INC.|E|74895|CANCELLED||FREMONT|94539|ALAMEDA|DHILLON'S TV SERVICE|E|27958|CANCELLED||HAYWARD|94544|ALAMEDA|DIAL SOUND|E|73135|CANCELLED||FREMONT|94539|ALAMEDA|DIAMOND HEAD COMPUTERS INC.|E|81329|CANCELLED||FREMONT|94538|ALAMEDA|DIAS TV|E|17548|CANCELLED||BERKELEY|94703|ALAMEDA|DIGITAL EQUIPMENT CORP.|E|74195|CANCELLED||LIVERMORE|94550|ALAMEDA|DIGITAL EQUIPMENT CORPORATION|E|73666|CANCELLED||OAKLAND|94612|ALAMEDA|DIGITAL EQUIPMENT CORPORATION|E|22576|CANCELLED||ALAMEDA|94501|ALAMEDA|DIGITAL EQUIPMENT CORPORATION|E|74225|CANCELLED||SAN LEANDRO|94577|ALAMEDA|DIGITAL SERVICE PROVIDERS, INC.|E|77500|CANCELLED||ALAMEDA|94501|ALAMEDA|DIGITAL SOLUTIONS|E|81445|CANCELLED||HAYWARD|94544|ALAMEDA|DIMOND HOME VIDEO|E|26782|CANCELLED||OAKLAND|94602|ALAMEDA|DIRECTV, LLC|E|88653|CLEAR||SAN LEANDRO|94577|ALAMEDA|DISCOUNT COMPUTER PRODUCTS|E|29196|CANCELLED||HAYWARD|94545|ALAMEDA|DISCOUNT COMPUTER SYSTEMS|E|75220|CANCELLED||SAN LEANDRO|94579|ALAMEDA|DISH NETWORK CALIFORNIA SERVICE CORPORATION|E|79618|CLEAR||HAYWARD|94545|ALAMEDA|DJ TV|E|76386|CANCELLED||FREMONT|94536|ALAMEDA|DJ TV INC|E|3810|CANCELLED||FREMONT|94536|ALAMEDA|DNA COMPUTERS|E|76676|CANCELLED||UNION CITY|94587|ALAMEDA|DNS COMPUTER|E|86539|CANCELLED||HAYWARD|94541|ALAMEDA|DOMINO COMPUTER|E|84683|CLEAR||BERKELEY|94703|ALAMEDA|DOMINO COMPUTER|E|75166|CANCELLED||OAKLAND|94612|ALAMEDA|DOMINO NETWORK|E|80897|CANCELLED||BERKELEY|94703|ALAMEDA|DOUGLAS DOANE CONSUMER ELECTRONICS REPAIR|E|75408|CANCELLED||HAYWARD|94544|ALAMEDA|DT & T MACINTOSH SERVICES, INC.|E|77623|CLEAR||FREMONT|94539|ALAMEDA|E-Z LINK TECHNOLOGIES, INC.|E|74953|CANCELLED||FREMONT|94538|ALAMEDA|EAD SYSTEMS CORPORATION|E|74956|CANCELLED||FREMONT|94538|ALAMEDA|EARTHQUAKE SOUND CORPORATION|E|81038|CLEAR||HAYWARD|94545|ALAMEDA|EAST BAY APPLIANCE CENTER|A|38705|CANCELLED||ALAMEDA|94501|ALAMEDA|EAST BAY APPLIANCE SERVICE|A|38562|CLEAR||HAYWARD|94541|ALAMEDA|EAST BAY COMPUTER CENTER|E|76432|CANCELLED||OAKLAND|94610|ALAMEDA|EAST BAY COMPUTER CENTER INC|E|88407|CLEAR||OAKLAND|94610|ALAMEDA|EB TECH SERVICES|E|82055|CANCELLED||OAKLAND|94610|ALAMEDA|ECHO COMMUNICATION|E|90019|CLEAR||PLEASANTON|94588|ALAMEDA|ECONOMY A/C & REFRIGERATION SERVICES|A|43288|CANCELLED||SAN LEANDRO|94577|ALAMEDA|EDCO ELECTRONICS INC|E|5680|CANCELLED||HAYWARD|94545|ALAMEDA|EDGAR LOMELI INSTALLATIONS|E|82592|CANCELLED||SAN LORENZO|94580|ALAMEDA|EDWIN'S HANDYMAN AND REPAIR SERVICES|C|62031|CLEAR||FREMONT|94536|ALAMEDA|EFOSA SYSTEMS, INC.|E|28930|CANCELLED||OAKLAND|94605|ALAMEDA|EFX COMPUTER|E|87006|CLEAR||SAN LEANDRO|94577|ALAMEDA|EFX COMPUTER|E|87321|CANCELLED||SAN LEANDRO|94577|ALAMEDA|EGGHEAD SOFTWARE|E|75179|CANCELLED||BERKELEY|94704|ALAMEDA|EGGHEAD SOFTWARE-#50|E|74523|CANCELLED||OAKLAND|94610|ALAMEDA|EID'S TV|E|29040|DELINQUENT||BERKELEY|94704|ALAMEDA|ELECTROCOM|C|60888|CANCELLED||OAKLAND|94606|ALAMEDA|ELECTRONIC DEPOT|E|24276|CANCELLED||FREMONT|94636|ALAMEDA|ELECTRONIC SERVICE|E|15393|DELINQUENT||OAKLAND|94619|ALAMEDA|ELECTRONICS EXPRESS SERVICE|E|70361|CANCELLED||FREMONT|94536|ALAMEDA|ELECTRONICS EXPRESS SERVICE|E|28880|CANCELLED||FREMONT|94536|ALAMEDA|ELECTRONICS UNLIMITED|E|29243|CANCELLED||UNION CITY|94587|ALAMEDA|ELECTRONIX WEST|E|29789|CANCELLED||HAYWARD|94545|ALAMEDA|ELEKTRON APPLIANCES|A|43770|CANCELLED||FREMONT|94538|ALAMEDA|ELITE ELECTRONICS|C|61824|CLEAR||ALAMEDA|94501|ALAMEDA|ELITEGROUP COMPUTER SYSTEMS INC|E|83985|CLEAR||NEWARK|94560|ALAMEDA|EMILIO'S SOUND|E|72998|CANCELLED||OAKLAND|94601|ALAMEDA|EMILIO'S SOUND INC|E|87257|CANCELLED||OAKLAND|94601|ALAMEDA|ENCORE - THE RECYCLED APPLIANCE STORE|A|42291|CANCELLED||OAKLAND|94621|ALAMEDA|EON TECHNOLOGIES|E|77352|CLEAR||ALAMEDA|94501|ALAMEDA|EPHONES|E|71422|CANCELLED||FREMONT|94538|ALAMEDA|EPS ELECTRONICS/ COMTRONICS|E|74286|CANCELLED||EMERYVILLE|94608|ALAMEDA|EUGENE'S HOME APPLIANCE SERVICE|A|37599|CLEAR||FREMONT|94538|ALAMEDA|EXABYTE COMPUTER SERVICES|E|85290|CANCELLED||PLEASANTON|94566|ALAMEDA|EXPEDITO B NIETO|E|74479|CANCELLED||OAKLAND|94619|ALAMEDA|EXPERT COMPUTER REPAIR|E|80756|CANCELLED||OAKLAND|94611|ALAMEDA|EYE PERFECT HOME SYSTEMS|E|81043|CANCELLED||HAYWARD|94542|ALAMEDA|EZ AIR CONTROL|A|44289|CANCELLED||UNION CITY|94587|ALAMEDA|FADDAS SERVICE CO|E|21067|CANCELLED||SAN LEANDRO|94578|ALAMEDA|FAMSA INC|C|61818|CANCELLED||OAKLAND|946014621|ALAMEDA|FAST TEKS ON SITE COMPUTER & REPAIR SERVICE|E|84667|CANCELLED||FREMONT|94555|ALAMEDA|FAST TEKS ON SITE COMPUTER SERVICES|E|83445|CANCELLED||DUBLIN|94568|ALAMEDA|FAST-TEK ON-SITE COMPUTER SERVICES|E|86215|CANCELLED||LIVERMORE|94550|ALAMEDA|FASTHUMA|E|89880|CLEAR||FREMONT|94539|ALAMEDA|FASTHUMA COMPUTER REPAIR|E|87427|CANCELLED||FREMONT|94539|ALAMEDA|FASTHUMA MOBILE COMPUTER REPAIR|E|86205|CANCELLED||NEWARK|94560|ALAMEDA|FERNANDEZ INSTALLATIONS|A|44741|CANCELLED||UNION CITY|94587|ALAMEDA|FIREDOG|E|83264|CANCELLED||HAYWARD|94544|ALAMEDA|FIREDOG|E|83218|CANCELLED||DUBLIN|94566|ALAMEDA|FIREDOG|E|83221|CANCELLED||EMERYVILLE|94608|ALAMEDA|FIREDOG|E|83293|CANCELLED||LIVERMORE|94550|ALAMEDA|FIREDOG|E|83251|CANCELLED||FREMONT|94538|ALAMEDA|FIRST AID ELECTRONICS|E|71568|CANCELLED||PLEASANTON|94566|ALAMEDA|FIRST INTERNATIONAL COMPUTER OF AMERICA INC|E|83855|CANCELLED||FREMONT|94539|ALAMEDA|FIVE STAR APPLIANCE SERVICE|A|39329|CANCELLED||FREMONT|94538|ALAMEDA|FLASH 2 UNLOCK|E|88274|CLEAR||FREMONT|94538|ALAMEDA|FLORES TV SERVICE|E|84753|CANCELLED||OAKLAND|94606|ALAMEDA|FLOYD'S APPLIANCE SERVICE|A|33419|CANCELLED||OAKLAND|94619|ALAMEDA|FLYNT ELECTRONICS|E|26228|CANCELLED||LIVERMORE|94550|ALAMEDA|FOCUS APPLIANCE REPAIR|A|45486|CLEAR||SAN LEANDRO|94578|ALAMEDA|FONES COMPUTER SERVICE|E|84418|CANCELLED||SAN LORENZO|94580|ALAMEDA|FOOTHILL APPLIANCE|A|42450|CANCELLED||OAKLAND|94601|ALAMEDA|FOOTHILL TELEVISION|E|29395|CANCELLED||OAKLAND|94605|ALAMEDA|FOSTERS REFRIGERATION & APPLIANCE REPAIR|A|43554|CANCELLED||OAKLAND|94612|ALAMEDA|FOUR BROTHERS HVACS|A|44897|CANCELLED||HAYWARD|94543|ALAMEDA|FRANDOR HOME APPLIANCE REPAIR SERVICE|A|40508|CANCELLED||BERKELEY|94707|ALAMEDA|FRANK'S OF BERKELEY INC|E|17476|CANCELLED||BERKELEY|94703|ALAMEDA|FRANKE REPAIRS|A|46956|CLEAR||HAYWARD|94541|ALAMEDA|FREDDY'S SERVICE SPECIALISTS|A|46749|CLEAR||HAYWARD|94541|ALAMEDA|FREDRICK'S RADIO & TV|E|1548|CANCELLED||ALAMEDA|94501|ALAMEDA|FREMONT CAR STEREO|E|25316|CANCELLED||NEWARK|94560|ALAMEDA|FREMONT CAR STEREO|E|27906|CANCELLED||UNION CITY|94587|ALAMEDA|FREMONT PC|E|84084|CANCELLED||FREMONT|94536|ALAMEDA|FREMONT SOUND INC|E|24071|CANCELLED||FREMONT|94538|ALAMEDA|FREMONT SURPLUS COMPUTER|E|84816|CANCELLED||FREMONT|94538|ALAMEDA|FREMONT TV AND VIDEO|E|28945|CANCELLED||FREMONT|94538|ALAMEDA|FREMONT TV AND VIDEO|E|27892|CANCELLED||FREMONT|94538|ALAMEDA|FREMONT TV AND VIDEO|E|28220|CANCELLED||FREMONT|94538|ALAMEDA|FRIEDMAN'S MICROWAVE OVEN SERVICE - HAYWARD|E|72007|CANCELLED||HAYWARD|94541|ALAMEDA|FRIEDMANS MICROWAVE OVENS|A|40796|CANCELLED||DUBLIN|94568|ALAMEDA|FRIEDMANS MICROWAVE OVENS|A|41794|CANCELLED||DUBLIN|945682324|ALAMEDA|FRIEDMANS MICROWAVE OVENS - HAYWARD|A|43325|CANCELLED||HAYWARD|94541|ALAMEDA|FRIEDMANS MICROWAVE OVENS - OAKLAND|A|42386|CANCELLED||OAKLAND|94612|ALAMEDA|FRIENDSHIP TV & ELECTRONICS SERV|E|19897|CANCELLED||OAKLAND|94605|ALAMEDA|FRIGID ELECTRIC REFRIG REPAIR|A|33113|CANCELLED||OAKLAND|94608|ALAMEDA|FRIGIDAIRE COMPANY|A|39607|CANCELLED||HAYWARD|945451155|ALAMEDA|FRY'S ELECTRONICS, INC|E|72713|CLEAR||FREMONT|94539|ALAMEDA|FRY'S ELECTRONICS, INC|ELECTRONIC REPAIR|72713|CLEAR Definition|April     30, 2015|April     26, 1994|FREMONT|CA|94539|ALAMEDA|No
License Type ";
    txt += "Description"+text+"|License Type ";
